Fish,ID,Node_count,X,Y,Z,Sec,Error,dt,uSecs
174,768a,4,647219.6,4185875.1,1,1521836152,0.000133,3/23/2018 13:15,329799
174,768a,6,647218.1,4185875.6,2,1521836167,0.000783,3/23/2018 13:16,403666
174,768a,4,647218.6,4185873.6,3.5,1521836172,0.00021,3/23/2018 13:16,445272
174,768a,3,647229.1,4185862.6,4.5,1521836177,1.80E-05,3/23/2018 13:16,492315
174,768a,3,647219.6,4185874.6,4.5,1521836182,6.70E-05,3/23/2018 13:16,498082
174,768a,3,647220.1,4185872.1,1.5,1521836207,7.10E-05,3/23/2018 13:16,630862
174,768a,8,647218.6,4185873.1,4,1521836212,0.000738,3/23/2018 13:16,655513
174,768a,4,647219.1,4185875.6,0,1521836232,0.000829,3/23/2018 13:17,766423
174,768a,3,647220.1,4185876.6,1.5,1521836247,7.60E-05,3/23/2018 13:17,878316
174,768a,5,647219.6,4185876.1,5,1521836257,0.001103,3/23/2018 13:17,939259
174,768a,4,647220.6,4185876.1,5,1521836267,0.000616,3/23/2018 13:17,996456
174,768a,5,647219.1,4185875.1,0.5,1521836283,0.000233,3/23/2018 13:18,87571
174,768a,3,647244.1,4185853.6,3,1521836303,4.00E-06,3/23/2018 13:18,203796
174,768a,3,647219.1,4185875.1,0,1521836308,3.00E-05,3/23/2018 13:18,236506
174,768a,4,647216.6,4185876.1,5,1521836318,0.000669,3/23/2018 13:18,298311
174,768a,3,647220.6,4185874.1,5,1521836338,0.000132,3/23/2018 13:18,434836
174,768a,6,647220.6,4185874.1,1,1521836343,0.000621,3/23/2018 13:19,454584
174,768a,4,647220.1,4185872.6,0.5,1521836348,8.00E-06,3/23/2018 13:19,504693
174,768a,4,647220.6,4185876.1,1.5,1521836378,0.000445,3/23/2018 13:19,692080
174,768a,4,647223.6,4185872.1,0,1521836388,0.000535,3/23/2018 13:19,751534
174,768a,4,647222.6,4185875.6,1,1521836398,0.000843,3/23/2018 13:19,807289
174,768a,7,647223.6,4185876.6,2,1521836403,0.001189,3/23/2018 13:20,831164
174,768a,3,647156.1,4185880.6,0.5,1521836413,3.00E-06,3/23/2018 13:20,885257
174,768a,4,647225.6,4185878.6,3.5,1521836418,0.000222,3/23/2018 13:20,912563
174,768a,3,647380.6,4185992.1,0,1521836428,8.00E-06,3/23/2018 13:20,968603
174,768a,4,647227.1,4185881.6,5,1521836433,0.000763,3/23/2018 13:20,995035
174,768a,3,647227.1,4185882.6,4.5,1521836439,9.30E-05,3/23/2018 13:20,22009
174,768a,3,647226.1,4185882.1,2,1521836444,0.00013,3/23/2018 13:20,47242
174,768a,3,647227.6,4185882.6,5,1521836449,5.40E-05,3/23/2018 13:20,74115
174,768a,4,647227.1,4185882.6,0,1521836459,8.50E-05,3/23/2018 13:20,129164
174,768a,3,647229.1,4185882.6,5,1521836469,5.50E-05,3/23/2018 13:21,185661
174,768a,4,647221.1,4185898.1,5,1521836474,0.000363,3/23/2018 13:21,221607
174,768a,4,647231.1,4185885.1,5,1521836489,0.000308,3/23/2018 13:21,301654
174,768a,4,647229.1,4185885.6,3.5,1521836494,0.000239,3/23/2018 13:21,328048
174,768a,4,647229.6,4185886.6,0.5,1521836504,0.000325,3/23/2018 13:21,377543
174,768a,6,647231.6,4185888.1,1.5,1521836509,0.001114,3/23/2018 13:21,406640
174,768a,4,647231.6,4185888.6,5,1521836514,0.000559,3/23/2018 13:21,438413
174,768a,5,647234.1,4185891.1,0,1521836524,0.000844,3/23/2018 13:22,493149
174,768a,5,647233.1,4185893.6,0.5,1521836529,0.000455,3/23/2018 13:22,519695
174,768a,5,647235.1,4185895.6,2,1521836534,0.000282,3/23/2018 13:22,542269
174,768a,5,647233.6,4185896.6,5,1521836539,0.001266,3/23/2018 13:22,560815
174,768a,3,647238.6,4185898.1,3,1521836544,2.70E-05,3/23/2018 13:22,584713
174,768a,6,647236.1,4185897.6,1.5,1521836554,0.000665,3/23/2018 13:22,628177
174,768a,3,647236.1,4185901.1,1,1521836559,5.50E-05,3/23/2018 13:22,655466
174,768a,6,647234.1,4185901.1,3.5,1521836564,0.001408,3/23/2018 13:22,679380
174,768a,3,647234.1,4185902.1,0.5,1521836569,0.000104,3/23/2018 13:22,705390
174,768a,7,647234.1,4185903.6,4.5,1521836579,0.001903,3/23/2018 13:22,760471
174,768a,7,647234.6,4185904.6,5,1521836584,0.00183,3/23/2018 13:23,786864
